2025-07-07 17:59:23 status half-configured libkrb5support0:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status installed libkrb5support0:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 configure libk5crypto3:amd64 1.20.1-6ubuntu2.6 <none>
2025-07-07 17:59:23 status unpacked libk5crypto3:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status half-configured libk5crypto3:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status installed libk5crypto3:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 configure libkrb5-3:amd64 1.20.1-6ubuntu2.6 <none>
2025-07-07 17:59:23 status unpacked libkrb5-3:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status half-configured libkrb5-3:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status installed libkrb5-3:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 configure libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6 <none>
2025-07-07 17:59:23 status unpacked libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status half-configured libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status installed libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 trigproc libc-bin:amd64 2.39-0ubuntu8.4 <none>
2025-07-07 17:59:23 status half-configured libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:23 status installed libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:24 startup archives unpack
2025-07-07 17:59:24 upgrade libperl5.38t64:amd64 5.38.2-3.2build2 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:24 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:24 status half-configured libperl5.38t64:amd64 5.38.2-3.2build2
2025-07-07 17:59:24 status unpacked libperl5.38t64:amd64 5.38.2-3.2build2
2025-07-07 17:59:24 status half-installed libperl5.38t64:amd64 5.38.2-3.2build2
2025-07-07 17:59:24 status triggers-pending man-db:amd64 2.12.0-4build2
2025-07-07 17:59:24 status unpacked libperl5.38t64:amd64 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:24 upgrade perl:amd64 5.38.2-3.2build2 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:24 status half-configured perl:amd64 5.38.2-3.2build2
2025-07-07 17:59:24 status unpacked perl:amd64 5.38.2-3.2build2
2025-07-07 17:59:24 status half-installed perl:amd64 5.38.2-3.2build2
2025-07-07 17:59:24 status unpacked perl:amd64 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:24 upgrade perl-base:amd64 5.38.2-3.2build2 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:24 status half-configured perl-base:amd64 5.38.2-3.2build2
2025-07-07 17:59:24 status unpacked perl-base:amd64 5.38.2-3.2build2
2025-07-07 17:59:24 status half-installed perl-base:amd64 5.38.2-3.2build2
2025-07-07 17:59:24 status unpacked perl-base:amd64 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:24 startup packages configure
2025-07-07 17:59:24 configure perl-base:amd64 5.38.2-3.2ubuntu0.1 <none>
2025-07-07 17:59:24 status unpacked perl-base:amd64 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:24 status half-configured perl-base:amd64 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:24 status installed perl-base:amd64 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:24 startup archives unpack
2025-07-07 17:59:24 upgrade perl-modules-5.38:all 5.38.2-3.2build2 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:24 status half-configured perl-modules-5.38:all 5.38.2-3.2build2
2025-07-07 17:59:24 status unpacked perl-modules-5.38:all 5.38.2-3.2build2
2025-07-07 17:59:24 status half-installed perl-modules-5.38:all 5.38.2-3.2build2
2025-07-07 17:59:25 status unpacked perl-modules-5.38:all 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:25 startup packages configure
2025-07-07 17:59:25 configure perl-modules-5.38:all 5.38.2-3.2ubuntu0.1 <none>
2025-07-07 17:59:25 status unpacked perl-modules-5.38:all 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:25 status half-configured perl-modules-5.38:all 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:25 status installed perl-modules-5.38:all 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:25 configure libperl5.38t64:amd64 5.38.2-3.2ubuntu0.1 <none>
2025-07-07 17:59:25 status unpacked libperl5.38t64:amd64 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:25 status half-configured libperl5.38t64:amd64 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:25 status installed libperl5.38t64:amd64 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:25 configure perl:amd64 5.38.2-3.2ubuntu0.1 <none>
2025-07-07 17:59:25 status unpacked perl:amd64 5.38.2-3.2ubuntu0.1
2025-07-07 17:59:25 status half-configured perl:amd64 5.38.2-3.2ubuntu0.1
